from	to	value
Because	Dear Prudence	blue
Because	Don't Pass Me By	blue
Because	Yellow Submarine	blue
Because	Yer Blues	blue
Dear Prudence	Don't Pass Me By	blue
Dear Prudence	Yellow Submarine	blue
Dear Prudence	Yer Blues	blue
Don't Pass Me By	Yellow Submarine	blue
Don't Pass Me By	Yer Blues	blue
Yellow Submarine	Yer Blues	blue
Honey Pie	Savoy Truffle	blues
Honey Pie	Lucy in the Sky with Diamonds	boat
A Day in the Life	Lovely Rita	book
Mother Nature's Son	Run for Your Life	born
Mother Nature's Son	She Said She Said	born
Mother Nature's Son	Yellow Submarine	born
Run for Your Life	She Said She Said	born
Run for Your Life	Yellow Submarine	born
She Said She Said	Yellow Submarine	born
Revolution 9 (Ft. Yoko Ono)	When I'm Sixty-Four	bottle
Love You To	While My Guitar Gently Weeps (Ft. Eric Clapton)	bought
A Day in the Life	Back in the U.S.S.R.	boy
A Day in the Life	Carry That Weight	boy
A Day in the Life	Good Morning Good Morning	boy
A Day in the Life	Maxwell's Silver Hammer	boy
A Day in the Life	Mother Nature's Son	boy
A Day in the Life	Octopus's Garden	boy
A Day in the Life	Rocky Raccoon	boy
A Day in the Life	She Said She Said	boy
Back in the U.S.S.R.	Carry That Weight	boy
Back in the U.S.S.R.	Good Morning Good Morning	boy
Back in the U.S.S.R.	Maxwell's Silver Hammer	boy
Back in the U.S.S.R.	Mother Nature's Son	boy
Back in the U.S.S.R.	Octopus's Garden	boy
Back in the U.S.S.R.	Rocky Raccoon	boy
Back in the U.S.S.R.	She Said She Said	boy
Carry That Weight	Good Morning Good Morning	boy
Carry That Weight	Maxwell's Silver Hammer	boy
Carry That Weight	Mother Nature's Son	boy
Carry That Weight	Octopus's Garden	boy
Carry That Weight	Rocky Raccoon	boy
Carry That Weight	She Said She Said	boy
Good Morning Good Morning	Maxwell's Silver Hammer	boy
Good Morning Good Morning	Mother Nature's Son	boy
Good Morning Good Morning	Octopus's Garden	boy
Good Morning Good Morning	Rocky Raccoon	boy
Good Morning Good Morning	She Said She Said	boy
Maxwell's Silver Hammer	Mother Nature's Son	boy
Maxwell's Silver Hammer	Octopus's Garden	boy
Maxwell's Silver Hammer	Rocky Raccoon	boy
Maxwell's Silver Hammer	She Said She Said	boy
Mother Nature's Son	Octopus's Garden	boy
Mother Nature's Son	Rocky Raccoon	boy
Mother Nature's Son	She Said She Said	boy
Octopus's Garden	Rocky Raccoon	boy
Octopus's Garden	She Said She Said	boy
Rocky Raccoon	She Said She Said	boy
Carry That Weight	Girl	break
Carry That Weight	Helter Skelter	break
Carry That Weight	What Goes On	break
Carry That Weight	You Never Give Me Your Money	break
Girl	Helter Skelter	break
Girl	What Goes On	break
Girl	You Never Give Me Your Money	break
Helter Skelter	What Goes On	break
Helter Skelter	You Never Give Me Your Money	break
What Goes On	You Never Give Me Your Money	break
For No One	She's Leaving Home	breaks
For No One	Wait	breaks
She's Leaving Home	Wait	breaks
Oh! Darling	Sexy Sadie	broke
And Your Bird Can Sing	Blackbird	broken
And Your Bird Can Sing	Revolution 9 (Ft. Yoko Ono)	broken
And Your Bird Can Sing	Rocky Raccoon	broken
Blackbird	Revolution 9 (Ft. Yoko Ono)	broken
Blackbird	Rocky Raccoon	broken
Revolution 9 (Ft. Yoko Ono)	Rocky Raccoon	broken
Cry Baby Cry	Revolution 1	brother
Cry Baby Cry	Revolution 9 (Ft. Yoko Ono)	brother
Revolution 1	Revolution 9 (Ft. Yoko Ono)	brother
Ob-La-Di, Ob-La-Da	Polythene Pam	built
Mean Mr. Mustard	She's Leaving Home	buy
Sgt. Pepper's Lonely Hearts Club Band (Reprise)	She's Leaving Home	bye
Doctor Robert	Good Morning Good Morning	call
Doctor Robert	I'm So Tired	call
Doctor Robert	If I Needed Someone	call
Doctor Robert	You Won't See Me	call
Good Morning Good Morning	I'm So Tired	call
Good Morning Good Morning	If I Needed Someone	call
Good Morning Good Morning	You Won't See Me	call
I'm So Tired	If I Needed Someone	call
I'm So Tired	You Won't See Me	call
If I Needed Someone	You Won't See Me	call
Revolution 9 (Ft. Yoko Ono)	Rocky Raccoon	called
Julia	Lucy in the Sky with Diamonds	calls
Julia	Maxwell's Silver Hammer	calls
Lucy in the Sky with Diamonds	Maxwell's Silver Hammer	calls
The Continuing Story of Bungalow Bill (Ft. Yoko Ono)	Yellow Submarine	captain
A Day in the Life	Don't Pass Me By	car
A Day in the Life	Drive My Car	car
A Day in the Life	Taxman	car
Don't Pass Me By	Drive My Car	car
Don't Pass Me By	Taxman	car
Drive My Car	Taxman	car
Eleanor Rigby	Here, There and Everywhere	care
Eleanor Rigby	Piggies	care
Here, There and Everywhere	Piggies	care
I Will	Run for Your Life	catch
Lovely Rita	Maxwell's Silver Hammer	caught
Norwegian Wood (This Bird Has Flown)	Revolution 9 (Ft. Yoko Ono)	chair
Birthday	The Word	chance
Revolution 1	Within You Without You	change
A Day in the Life	Good Morning Good Morning	changed
A Day in the Life	I'm Looking Through You	changed
A Day in the Life	In My Life	changed
Good Morning Good Morning	I'm Looking Through You	changed
Good Morning Good Morning	In My Life	changed
I'm Looking Through You	In My Life	changed
Getting Better	Here, There and Everywhere	changing
Dear Prudence	Julia	child
Cry Baby Cry	Ob-La-Di, Ob-La-Da	children
Cry Baby Cry	The Continuing Story of Bungalow Bill (Ft. Yoko Ono)	children
Cry Baby Cry	You Never Give Me Your Money	children
Ob-La-Di, Ob-La-Da	The Continuing Story of Bungalow Bill (Ft. Yoko Ono)	children
Ob-La-Di, Ob-La-Da	You Never Give Me Your Money	children
The Continuing Story of Bungalow Bill (Ft. Yoko Ono)	You Never Give Me Your Money	children
A Day in the Life	Don't Pass Me By	clock
Glass Onion	Good Night	close
Glass Onion	Think for Yourself	close
Good Night	Think for Yourself	close
Julia	Yer Blues	cloud
Dear Prudence	Lucy in the Sky with Diamonds	clouds
Sgt. Pepper's Lonely Hearts Club Band	Sgt. Pepper's Lonely Hearts Club Band (Reprise)	club
Piggies	She's Leaving Home	clutching
Here Comes the Sun	Taxman	cold
Here Comes the Sun	Within You Without You	cold
Taxman	Within You Without You	cold
Don't Pass Me By	Helter Skelter	coming
Don't Pass Me By	Wait	coming
Helter Skelter	Wait	coming
Getting Better	Girl	cool
Getting Better	Good Morning Good Morning	cool
Getting Better	Savoy Truffle	cool
Girl	Good Morning Good Morning	cool
Girl	Savoy Truffle	cool
Good Morning Good Morning	Savoy Truffle	cool
A Day in the Life	Revolution 1	count
Honey Pie	I'm Only Sleeping	crazy
For No One	Oh! Darling	cried
For No One	Wait	cried
Oh! Darling	Wait	cried
A Day in the Life	Happiness is a Warm Gun	crowd
Because	Cry Baby Cry	cry
Because	Don't Pass Me By	cry
Because	Girl	cry
Because	Golden Slumbers	cry
Cry Baby Cry	Don't Pass Me By	cry
Cry Baby Cry	Girl	cry
Cry Baby Cry	Golden Slumbers	cry
Don't Pass Me By	Girl	cry
Don't Pass Me By	Golden Slumbers	cry
Girl	Golden Slumbers	cry
A Day in the Life	Doctor Robert	cup
Revolution 9 (Ft. Yoko Ono)	Savoy Truffle	cuts
Here Comes the Sun	Lovely Rita	da
Here Comes the Sun	Ob-La-Di, Ob-La-Da	da
Here Comes the Sun	Revolution 9 (Ft. Yoko Ono)	da
Here Comes the Sun	Savoy Truffle	da
Lovely Rita	Ob-La-Di, Ob-La-Da	da
Lovely Rita	Revolution 9 (Ft. Yoko Ono)	da
Lovely Rita	Savoy Truffle	da
Ob-La-Di, Ob-La-Da	Revolution 9 (Ft. Yoko Ono)	da
Ob-La-Di, Ob-La-Da	Savoy Truffle	da
Revolution 9 (Ft. Yoko Ono)	Savoy Truffle	da
Being for the Benefit of Mr. Kite!	Birthday	dance
Being for the Benefit of Mr. Kite!	Octopus's Garden	dance
Birthday	Octopus's Garden	dance
Helter Skelter	She Came in Through the Bathroom Window	dancer
Blackbird	Cry Baby Cry	dark
Blackbird	Good Morning Good Morning	dark
Blackbird	Lovely Rita	dark
Blackbird	Mean Mr. Mustard	dark
Cry Baby Cry	Good Morning Good Morning	dark
Cry Baby Cry	Lovely Rita	dark
Cry Baby Cry	Mean Mr. Mustard	dark
Good Morning Good Morning	Lovely Rita	dark
Good Morning Good Morning	Mean Mr. Mustard	dark
Lovely Rita	Mean Mr. Mustard	dark
Don't Pass Me By	Golden Slumbers	darling
Don't Pass Me By	Here Comes the Sun	darling
Don't Pass Me By	Oh! Darling	darling
Golden Slumbers	Here Comes the Sun	darling
Golden Slumbers	Oh! Darling	darling
Here Comes the Sun	Oh! Darling	darling
Dear Prudence	Doctor Robert	day
Dear Prudence	For No One	day
Dear Prudence	Girl	day
Dear Prudence	Good Day Sunshine	day
Dear Prudence	Good Morning Good Morning	day
Dear Prudence	Got to Get You into My Life	day
Dear Prudence	Her Majesty	day
Dear Prudence	Here, There and Everywhere	day
Dear Prudence	I'm Only Sleeping	day
Dear Prudence	If I Needed Someone	day
Dear Prudence	Love You To	day
Dear Prudence	Mother Nature's Son	day
Dear Prudence	Rocky Raccoon	day
Dear Prudence	Sexy Sadie	day
Dear Prudence	She Came in Through the Bathroom Window	day
Dear Prudence	She's Leaving Home	day
Dear Prudence	What Goes On	day
Dear Prudence	With a Little Help from My Friends	day
Doctor Robert	For No One	day
Doctor Robert	Girl	day
Doctor Robert	Good Day Sunshine	day
Doctor Robert	Good Morning Good Morning	day
Doctor Robert	Got to Get You into My Life	day
Doctor Robert	Her Majesty	day
Doctor Robert	Here, There and Everywhere	day
Doctor Robert	I'm Only Sleeping	day
Doctor Robert	If I Needed Someone	day
Doctor Robert	Love You To	day
Doctor Robert	Mother Nature's Son	day
Doctor Robert	Rocky Raccoon	day
Doctor Robert	Sexy Sadie	day
Doctor Robert	She Came in Through the Bathroom Window	day
Doctor Robert	She's Leaving Home	day
Doctor Robert	What Goes On	day
Doctor Robert	With a Little Help from My Friends	day
For No One	Girl	day
For No One	Good Day Sunshine	day
For No One	Good Morning Good Morning	day
For No One	Got to Get You into My Life	day
For No One	Her Majesty	day
For No One	Here, There and Everywhere	day
For No One	I'm Only Sleeping	day
For No One	If I Needed Someone	day
For No One	Love You To	day
For No One	Mother Nature's Son	day
For No One	Rocky Raccoon	day
For No One	Sexy Sadie	day
For No One	She Came in Through the Bathroom Window	day
For No One	She's Leaving Home	day
For No One	What Goes On	day
For No One	With a Little Help from My Friends	day
Girl	Good Day Sunshine	day
Girl	Good Morning Good Morning	day
Girl	Got to Get You into My Life	day
Girl	Her Majesty	day
Girl	Here, There and Everywhere	day
Girl	I'm Only Sleeping	day
Girl	If I Needed Someone	day
Girl	Love You To	day
Girl	Mother Nature's Son	day
Girl	Rocky Raccoon	day
Girl	Sexy Sadie	day
Girl	She Came in Through the Bathroom Window	day
Girl	She's Leaving Home	day
Girl	What Goes On	day
Girl	With a Little Help from My Friends	day
Good Day Sunshine	Good Morning Good Morning	day
Good Day Sunshine	Got to Get You into My Life	day
Good Day Sunshine	Her Majesty	day
Good Day Sunshine	Here, There and Everywhere	day
Good Day Sunshine	I'm Only Sleeping	day
Good Day Sunshine	If I Needed Someone	day
Good Day Sunshine	Love You To	day
Good Day Sunshine	Mother Nature's Son	day
Good Day Sunshine	Rocky Raccoon	day
Good Day Sunshine	Sexy Sadie	day
Good Day Sunshine	She Came in Through the Bathroom Window	day
Good Day Sunshine	She's Leaving Home	day
Good Day Sunshine	What Goes On	day
Good Day Sunshine	With a Little Help from My Friends	day
Good Morning Good Morning	Got to Get You into My Life	day
Good Morning Good Morning	Her Majesty	day
Good Morning Good Morning	Here, There and Everywhere	day
Good Morning Good Morning	I'm Only Sleeping	day
Good Morning Good Morning	If I Needed Someone	day
Good Morning Good Morning	Love You To	day
Good Morning Good Morning	Mother Nature's Son	day
Good Morning Good Morning	Rocky Raccoon	day
Good Morning Good Morning	Sexy Sadie	day
Good Morning Good Morning	She Came in Through the Bathroom Window	day
Good Morning Good Morning	She's Leaving Home	day
Good Morning Good Morning	What Goes On	day
Good Morning Good Morning	With a Little Help from My Friends	day
Got to Get You into My Life	Her Majesty	day
Got to Get You into My Life	Here, There and Everywhere	day
Got to Get You into My Life	I'm Only Sleeping	day
Got to Get You into My Life	If I Needed Someone	day
Got to Get You into My Life	Love You To	day
Got to Get You into My Life	Mother Nature's Son	day
Got to Get You into My Life	Rocky Raccoon	day
Got to Get You into My Life	Sexy Sadie	day
Got to Get You into My Life	She Came in Through the Bathroom Window	day
Got to Get You into My Life	She's Leaving Home	day
Got to Get You into My Life	What Goes On	day
Got to Get You into My Life	With a Little Help from My Friends	day
Her Majesty	Here, There and Everywhere	day
Her Majesty	I'm Only Sleeping	day
Her Majesty	If I Needed Someone	day
Her Majesty	Love You To	day
Her Majesty	Mother Nature's Son	day
Her Majesty	Rocky Raccoon	day
Her Majesty	Sexy Sadie	day
Her Majesty	She Came in Through the Bathroom Window	day
Her Majesty	She's Leaving Home	day
Her Majesty	What Goes On	day
Her Majesty	With a Little Help from My Friends	day
Here, There and Everywhere	I'm Only Sleeping	day
Here, There and Everywhere	If I Needed Someone	day
Here, There and Everywhere	Love You To	day
Here, There and Everywhere	Mother Nature's Son	day
Here, There and Everywhere	Rocky Raccoon	day
Here, There and Everywhere	Sexy Sadie	day
Here, There and Everywhere	She Came in Through the Bathroom Window	day
Here, There and Everywhere	She's Leaving Home	day
Here, There and Everywhere	What Goes On	day
Here, There and Everywhere	With a Little Help from My Friends	day
I'm Only Sleeping	If I Needed Someone	day
I'm Only Sleeping	Love You To	day
I'm Only Sleeping	Mother Nature's Son	day
I'm Only Sleeping	Rocky Raccoon	day
I'm Only Sleeping	Sexy Sadie	day
I'm Only Sleeping	She Came in Through the Bathroom Window	day
I'm Only Sleeping	She's Leaving Home	day
I'm Only Sleeping	What Goes On	day
I'm Only Sleeping	With a Little Help from My Friends	day
If I Needed Someone	Love You To	day
If I Needed Someone	Mother Nature's Son	day
If I Needed Someone	Rocky Raccoon	day
If I Needed Someone	Sexy Sadie	day
If I Needed Someone	She Came in Through the Bathroom Window	day
If I Needed Someone	She's Leaving Home	day
If I Needed Someone	What Goes On	day
If I Needed Someone	With a Little Help from My Friends	day
Love You To	Mother Nature's Son	day
Love You To	Rocky Raccoon	day
Love You To	Sexy Sadie	day
Love You To	She Came in Through the Bathroom Window	day
Love You To	She's Leaving Home	day
Love You To	What Goes On	day
Love You To	With a Little Help from My Friends	day
Mother Nature's Son	Rocky Raccoon	day
Mother Nature's Son	Sexy Sadie	day
Mother Nature's Son	She Came in Through the Bathroom Window	day
Mother Nature's Son	She's Leaving Home	day
Mother Nature's Son	What Goes On	day
Mother Nature's Son	With a Little Help from My Friends	day
Rocky Raccoon	Sexy Sadie	day
Rocky Raccoon	She Came in Through the Bathroom Window	day
Rocky Raccoon	She's Leaving Home	day
Rocky Raccoon	What Goes On	day
Rocky Raccoon	With a Little Help from My Friends	day
Sexy Sadie	She Came in Through the Bathroom Window	day
Sexy Sadie	She's Leaving Home	day
Sexy Sadie	What Goes On	day
Sexy Sadie	With a Little Help from My Friends	day
She Came in Through the Bathroom Window	She's Leaving Home	day
She Came in Through the Bathroom Window	What Goes On	day
She Came in Through the Bathroom Window	With a Little Help from My Friends	day
She's Leaving Home	What Goes On	day
She's Leaving Home	With a Little Help from My Friends	day
What Goes On	With a Little Help from My Friends	day
Being for the Benefit of Mr. Kite!	Martha My Dear	days
Being for the Benefit of Mr. Kite!	Revolution 9 (Ft. Yoko Ono)	days
Being for the Benefit of Mr. Kite!	You Won't See Me	days
Martha My Dear	Revolution 9 (Ft. Yoko Ono)	days
Martha My Dear	You Won't See Me	days
Revolution 9 (Ft. Yoko Ono)	You Won't See Me	days
Blackbird	For No One	dead
Blackbird	Girl	dead
Blackbird	In My Life	dead
Blackbird	Love You To	dead
Blackbird	Maxwell's Silver Hammer	dead
Blackbird	Run for Your Life	dead
Blackbird	She Said She Said	dead
Blackbird	Tomorrow Never Knows	dead
Blackbird	Yer Blues	dead
For No One	Girl	dead
For No One	In My Life	dead
For No One	Love You To	dead
For No One	Maxwell's Silver Hammer	dead
For No One	Run for Your Life	dead
For No One	She Said She Said	dead
For No One	Tomorrow Never Knows	dead
For No One	Yer Blues	dead
Girl	In My Life	dead
Girl	Love You To	dead
Girl	Maxwell's Silver Hammer	dead
Girl	Run for Your Life	dead
Girl	She Said She Said	dead
Girl	Tomorrow Never Knows	dead
Girl	Yer Blues	dead
In My Life	Love You To	dead
In My Life	Maxwell's Silver Hammer	dead
In My Life	Run for Your Life	dead
In My Life	She Said She Said	dead
In My Life	Tomorrow Never Knows	dead
In My Life	Yer Blues	dead
Love You To	Maxwell's Silver Hammer	dead
Love You To	Run for Your Life	dead
Love You To	She Said She Said	dead
Love You To	Tomorrow Never Knows	dead
Love You To	Yer Blues	dead
Maxwell's Silver Hammer	Run for Your Life	dead
Maxwell's Silver Hammer	She Said She Said	dead
Maxwell's Silver Hammer	Tomorrow Never Knows	dead
Maxwell's Silver Hammer	Yer Blues	dead
Run for Your Life	She Said She Said	dead
Run for Your Life	Tomorrow Never Knows	dead
Run for Your Life	Yer Blues	dead
She Said She Said	Tomorrow Never Knows	dead
She Said She Said	Yer Blues	dead
Tomorrow Never Knows	Yer Blues	dead
Dear Prudence	Don't Pass Me By	dear
Dear Prudence	Martha My Dear	dear
Dear Prudence	When I'm Sixty-Four	dear
Don't Pass Me By	Martha My Dear	dear
Don't Pass Me By	When I'm Sixty-Four	dear
Martha My Dear	When I'm Sixty-Four	dear
Ob-La-Di, Ob-La-Da	Savoy Truffle	di
Taxman	What Goes On	die
Taxman	Yer Blues	die
What Goes On	Yer Blues	die
Eleanor Rigby	Oh! Darling	died
Lovely Rita	Piggies	dinner
Eleanor Rigby	Piggies	dirt
Maxwell's Silver Hammer	Mean Mr. Mustard	dirty
Doctor Robert	Rocky Raccoon	doctor
Don't Pass Me By	Eleanor Rigby	door
Don't Pass Me By	Fixing a Hole	door
Don't Pass Me By	Maxwell's Silver Hammer	door
Don't Pass Me By	Ob-La-Di, Ob-La-Da	door
Don't Pass Me By	She's Leaving Home	door
Don't Pass Me By	When I'm Sixty-Four	door
Don't Pass Me By	Yellow Submarine	door
Eleanor Rigby	Fixing a Hole	door
Eleanor Rigby	Maxwell's Silver Hammer	door
Eleanor Rigby	Ob-La-Di, Ob-La-Da	door
Eleanor Rigby	She's Leaving Home	door
Eleanor Rigby	When I'm Sixty-Four	door
Eleanor Rigby	Yellow Submarine	door
Fixing a Hole	Maxwell's Silver Hammer	door
Fixing a Hole	Ob-La-Di, Ob-La-Da	door
Fixing a Hole	She's Leaving Home	door
Fixing a Hole	When I'm Sixty-Four	door
Fixing a Hole	Yellow Submarine	door
Maxwell's Silver Hammer	Ob-La-Di, Ob-La-Da	door
Maxwell's Silver Hammer	She's Leaving Home	door
Maxwell's Silver Hammer	When I'm Sixty-Four	door
Maxwell's Silver Hammer	Yellow Submarine	door
Ob-La-Di, Ob-La-Da	She's Leaving Home	door
Ob-La-Di, Ob-La-Da	When I'm Sixty-Four	door
Ob-La-Di, Ob-La-Da	Yellow Submarine	door
She's Leaving Home	When I'm Sixty-Four	door
She's Leaving Home	Yellow Submarine	door
When I'm Sixty-Four	Yellow Submarine	door
I Want to Tell You	Polythene Pam	drag
A Day in the Life	Eleanor Rigby	dream
A Day in the Life	Good Night	dream
A Day in the Life	I'm Only Sleeping	dream
A Day in the Life	You Never Give Me Your Money	dream
Eleanor Rigby	Good Night	dream
Eleanor Rigby	I'm Only Sleeping	dream
Eleanor Rigby	You Never Give Me Your Money	dream
Good Night	I'm Only Sleeping	dream
Good Night	You Never Give Me Your Money	dream
I'm Only Sleeping	You Never Give Me Your Money	dream
Good Night	Rocky Raccoon	dreams
Good Night	The End	dreams
Good Night	Tomorrow Never Knows	dreams
Rocky Raccoon	The End	dreams
Rocky Raccoon	Tomorrow Never Knows	dreams
The End	Tomorrow Never Knows	dreams
Doctor Robert	I'm So Tired	drink
Don't Pass Me By	Drive My Car	drive
Don't Pass Me By	Taxman	drive
Drive My Car	Taxman	drive
Honey Pie	I Want You (She's So Heavy)	driving
When I'm Sixty-Four	Yellow Submarine	drop
Girl	Yer Blues	earth
Everybody's Got Something to Hide Except Me and My Monkey	I Will	easy
Everybody's Got Something to Hide Except Me and My Monkey	What Goes On	easy
I Will	What Goes On	easy
Lucy in the Sky with Diamonds	Piggies	eat
Lucy in the Sky with Diamonds	Savoy Truffle	eat
Piggies	Savoy Truffle	eat
Ob-La-Di, Ob-La-Da	Sgt. Pepper's Lonely Hearts Club Band	evening
Ob-La-Di, Ob-La-Da	Yer Blues	evening
Sgt. Pepper's Lonely Hearts Club Band	Yer Blues	evening
Everybody's Got Something to Hide Except Me and My Monkey	Sun King	everybody's
I'm Only Sleeping	Rocky Raccoon	eye
I'm Only Sleeping	Yer Blues	eye
Rocky Raccoon	Yer Blues	eye
Blackbird	Dear Prudence	eyes
Blackbird	For No One	eyes
Blackbird	Golden Slumbers	eyes
Blackbird	Good Night	eyes
Blackbird	Happiness is a Warm Gun	eyes
Blackbird	Here, There and Everywhere	eyes
Blackbird	Julia	eyes
Blackbird	Lucy in the Sky with Diamonds	eyes
Blackbird	Revolution 9 (Ft. Yoko Ono)	eyes
Blackbird	Taxman	eyes
Blackbird	The Continuing Story of Bungalow Bill (Ft. Yoko Ono)	eyes
Blackbird	Think for Yourself	eyes
Dear Prudence	For No One	eyes
Dear Prudence	Golden Slumbers	eyes
Dear Prudence	Good Night	eyes
Dear Prudence	Happiness is a Warm Gun	eyes
Dear Prudence	Here, There and Everywhere	eyes
Dear Prudence	Julia	eyes
