from	to	value
Lily of the Valley	My Fairy King	baby
Lily of the Valley	Now I'm Here	baby
Lily of the Valley	Seaside Rendezvous	baby
Lily of the Valley	Sweet Lady	baby
Lily of the Valley	Tie Your Mother Down	baby
Modern Times Rock 'N' Roll	My Fairy King	baby
Modern Times Rock 'N' Roll	Now I'm Here	baby
Modern Times Rock 'N' Roll	Seaside Rendezvous	baby
Modern Times Rock 'N' Roll	Sweet Lady	baby
Modern Times Rock 'N' Roll	Tie Your Mother Down	baby
My Fairy King	Now I'm Here	baby
My Fairy King	Seaside Rendezvous	baby
My Fairy King	Sweet Lady	baby
My Fairy King	Tie Your Mother Down	baby
Now I'm Here	Seaside Rendezvous	baby
Now I'm Here	Sweet Lady	baby
Now I'm Here	Tie Your Mother Down	baby
Seaside Rendezvous	Sweet Lady	baby
Seaside Rendezvous	Tie Your Mother Down	baby
Sweet Lady	Tie Your Mother Down	baby
Bring Back That Leroy Brown	Death on Two Legs (Dedicated to...)	bad
Bring Back That Leroy Brown	Fat Bottomed Girls	bad
Bring Back That Leroy Brown	Great King Rat	bad
Bring Back That Leroy Brown	Tie Your Mother Down	bad
Bring Back That Leroy Brown	You're My Best Friend	bad
Death on Two Legs (Dedicated to...)	Fat Bottomed Girls	bad
Death on Two Legs (Dedicated to...)	Great King Rat	bad
Death on Two Legs (Dedicated to...)	Tie Your Mother Down	bad
Death on Two Legs (Dedicated to...)	You're My Best Friend	bad
Fat Bottomed Girls	Great King Rat	bad
Fat Bottomed Girls	Tie Your Mother Down	bad
Fat Bottomed Girls	You're My Best Friend	bad
Great King Rat	Tie Your Mother Down	bad
Great King Rat	You're My Best Friend	bad
Tie Your Mother Down	You're My Best Friend	bad
Don't Stop Me Now	Dreamer's Ball	ball
Dreamer's Ball	Somebody to Love	barely
Dead on Time	White Man	battle
If You Can't Beat Them	More of That Jazz	beat
If You Can't Beat Them	Somebody to Love	beat
More of That Jazz	Somebody to Love	beat
Bohemian Rhapsody	Son and Daughter	begun
Great King Rat	White Man	bible
Bicycle Race	More of That Jazz	bicycle
Bring Back That Leroy Brown	Good Old-Fashioned Lover Boy	bill
Bicycle Race	The Night Comes Down	black
Death on Two Legs (Dedicated to...)	My Fairy King	blood
Death on Two Legs (Dedicated to...)	White Man	blood
My Fairy King	White Man	blood
Dear Friends	Flick of the Wrist	blow
Dear Friends	Killer Queen	blow
Dear Friends	Stone Cold Crazy	blow
Flick of the Wrist	Killer Queen	blow
Flick of the Wrist	Stone Cold Crazy	blow
Killer Queen	Stone Cold Crazy	blow
Bohemian Rhapsody	Teo Torriatte (Let Us Cling Together)	blows
'39	Fat Bottomed Girls	blue
'39	My Fairy King	blue
Fat Bottomed Girls	My Fairy King	blue
Keep Yourself Alive	Let Me Entertain You	body
Keep Yourself Alive	Modern Times Rock 'N' Roll	body
Keep Yourself Alive	White Man	body
Let Me Entertain You	Modern Times Rock 'N' Roll	body
Let Me Entertain You	White Man	body
Modern Times Rock 'N' Roll	White Man	body
Bohemian Rhapsody	Fun It	body's
Stone Cold Crazy	The Prophet's Song	bone
Stone Cold Crazy	White Man	bone
The Prophet's Song	White Man	bone
Fat Bottomed Girls	Flick of the Wrist	bones
Fat Bottomed Girls	Somebody to Love	bones
Flick of the Wrist	Somebody to Love	bones
'39	Bohemian Rhapsody	born
'39	Great King Rat	born
'39	Jesus	born
'39	My Fairy King	born
Bohemian Rhapsody	Great King Rat	born
Bohemian Rhapsody	Jesus	born
Bohemian Rhapsody	My Fairy King	born
Great King Rat	Jesus	born
Great King Rat	My Fairy King	born
Jesus	My Fairy King	born
Bicycle Race	Fat Bottomed Girls	bottomed
Bicycle Race	More of That Jazz	bottomed
Fat Bottomed Girls	More of That Jazz	bottomed
Bohemian Rhapsody	Bring Back That Leroy Brown	boy
Bohemian Rhapsody	Death on Two Legs (Dedicated to...)	boy
Bohemian Rhapsody	Dreamer's Ball	boy
Bohemian Rhapsody	Drowse	boy
Bohemian Rhapsody	Fat Bottomed Girls	boy
Bohemian Rhapsody	Good Old-Fashioned Lover Boy	boy
Bohemian Rhapsody	I’m in Love with My Car	boy
Bring Back That Leroy Brown	Death on Two Legs (Dedicated to...)	boy
Bring Back That Leroy Brown	Dreamer's Ball	boy
Bring Back That Leroy Brown	Drowse	boy
Bring Back That Leroy Brown	Fat Bottomed Girls	boy
Bring Back That Leroy Brown	Good Old-Fashioned Lover Boy	boy
Bring Back That Leroy Brown	I’m in Love with My Car	boy
Death on Two Legs (Dedicated to...)	Dreamer's Ball	boy
Death on Two Legs (Dedicated to...)	Drowse	boy
Death on Two Legs (Dedicated to...)	Fat Bottomed Girls	boy
Death on Two Legs (Dedicated to...)	Good Old-Fashioned Lover Boy	boy
Death on Two Legs (Dedicated to...)	I’m in Love with My Car	boy
Dreamer's Ball	Drowse	boy
Dreamer's Ball	Fat Bottomed Girls	boy
Dreamer's Ball	Good Old-Fashioned Lover Boy	boy
Dreamer's Ball	I’m in Love with My Car	boy
Drowse	Fat Bottomed Girls	boy
Drowse	Good Old-Fashioned Lover Boy	boy
Drowse	I’m in Love with My Car	boy
Fat Bottomed Girls	Good Old-Fashioned Lover Boy	boy
Fat Bottomed Girls	I’m in Love with My Car	boy
Good Old-Fashioned Lover Boy	I’m in Love with My Car	boy
Death on Two Legs (Dedicated to...)	Flick of the Wrist	brain
Death on Two Legs (Dedicated to...)	Somebody to Love	brain
Flick of the Wrist	Somebody to Love	brain
Seaside Rendezvous	Son and Daughter	brand
Death on Two Legs (Dedicated to...)	Leaving Home Ain't Easy	break
Death on Two Legs (Dedicated to...)	Stone Cold Crazy	break
Death on Two Legs (Dedicated to...)	The Prophet's Song	break
Leaving Home Ain't Easy	Stone Cold Crazy	break
Leaving Home Ain't Easy	The Prophet's Song	break
Stone Cold Crazy	The Prophet's Song	break
Drowse	Let Me Entertain You	breakfast
Now I'm Here	You and I	bright
'39	Bring Back That Leroy Brown	bring
'39	Jealousy	bring
'39	Liar	bring
'39	Love of My Life	bring
'39	More of That Jazz	bring
'39	My Fairy King	bring
'39	Sweet Lady	bring
'39	The Millionaire Waltz	bring
Bring Back That Leroy Brown	Jealousy	bring
Bring Back That Leroy Brown	Liar	bring
Bring Back That Leroy Brown	Love of My Life	bring
Bring Back That Leroy Brown	More of That Jazz	bring
Bring Back That Leroy Brown	My Fairy King	bring
Bring Back That Leroy Brown	Sweet Lady	bring
Bring Back That Leroy Brown	The Millionaire Waltz	bring
Jealousy	Liar	bring
Jealousy	Love of My Life	bring
Jealousy	More of That Jazz	bring
Jealousy	My Fairy King	bring
Jealousy	Sweet Lady	bring
Jealousy	The Millionaire Waltz	bring
Liar	Love of My Life	bring
Liar	More of That Jazz	bring
Liar	My Fairy King	bring
Liar	Sweet Lady	bring
Liar	The Millionaire Waltz	bring
Love of My Life	More of That Jazz	bring
Love of My Life	My Fairy King	bring
Love of My Life	Sweet Lady	bring
Love of My Life	The Millionaire Waltz	bring
More of That Jazz	My Fairy King	bring
More of That Jazz	Sweet Lady	bring
More of That Jazz	The Millionaire Waltz	bring
My Fairy King	Sweet Lady	bring
My Fairy King	The Millionaire Waltz	bring
Sweet Lady	The Millionaire Waltz	bring
Dreamer's Ball	Love of My Life	broken
Dreamer's Ball	My Fairy King	broken
Love of My Life	My Fairy King	broken
Jealousy	Keep Yourself Alive	brought
Killer Queen	White Man	built
Dead on Time	Death on Two Legs (Dedicated to...)	business
Dead on Time	More of That Jazz	business
Death on Two Legs (Dedicated to...)	More of That Jazz	business
'39	Don't Stop Me Now	call
'39	Good Company	call
'39	If You Can't Beat Them	call
'39	Leaving Home Ain't Easy	call
'39	Sweet Lady	call
Don't Stop Me Now	Good Company	call
Don't Stop Me Now	If You Can't Beat Them	call
Don't Stop Me Now	Leaving Home Ain't Easy	call
Don't Stop Me Now	Sweet Lady	call
Good Company	If You Can't Beat Them	call
Good Company	Leaving Home Ain't Easy	call
Good Company	Sweet Lady	call
If You Can't Beat Them	Leaving Home Ain't Easy	call
If You Can't Beat Them	Sweet Lady	call
Leaving Home Ain't Easy	Sweet Lady	call
'39	Leaving Home Ain't Easy	calling
'39	Liar	calling
Leaving Home Ain't Easy	Liar	calling
Don't Stop Me Now	I’m in Love with My Car	car
Don't Stop Me Now	Tenement Funster	car
I’m in Love with My Car	Tenement Funster	car
Bring Back That Leroy Brown	Good Company	care
Bring Back That Leroy Brown	Great King Rat	care
Bring Back That Leroy Brown	Killer Queen	care
Bring Back That Leroy Brown	Long Away	care
Good Company	Great King Rat	care
Good Company	Killer Queen	care
Good Company	Long Away	care
Great King Rat	Killer Queen	care
Great King Rat	Long Away	care
Killer Queen	Long Away	care
Bohemian Rhapsody	Lily of the Valley	carry
Bohemian Rhapsody	Misfire	carry
Bohemian Rhapsody	Stone Cold Crazy	carry
Lily of the Valley	Misfire	carry
Lily of the Valley	Stone Cold Crazy	carry
Misfire	Stone Cold Crazy	carry
I’m in Love with My Car	Killer Queen	cars
Somebody to Love	Stone Cold Crazy	cell
In Only Seven Days	My Fairy King	changed
In Only Seven Days	You Take My Breath Away	changed
My Fairy King	You Take My Breath Away	changed
Long Away	Now I'm Here	chase
Bicycle Race	Sweet Lady	cheese
Let Me Entertain You	Modern Times Rock 'N' Roll	chest
The Prophet's Song	White Man	children
In Only Seven Days	Teo Torriatte (Let Us Cling Together)	close
Stone Cold Crazy	The Prophet's Song	cold
Bicycle Race	Modern Times Rock 'N' Roll	coming
Bicycle Race	More of That Jazz	coming
Modern Times Rock 'N' Roll	More of That Jazz	coming
Bring Back That Leroy Brown	Somebody to Love	common
Don't Stop Me Now	You Take My Breath Away	control
Bicycle Race	Bring Back That Leroy Brown	cool
The Millionaire Waltz	The Prophet's Song	counting
Dead on Time	Let Me Entertain You	crazy
Dead on Time	Somebody to Love	crazy
Dead on Time	Stone Cold Crazy	crazy
Dead on Time	Tenement Funster	crazy
Let Me Entertain You	Somebody to Love	crazy
Let Me Entertain You	Stone Cold Crazy	crazy
Let Me Entertain You	Tenement Funster	crazy
Somebody to Love	Stone Cold Crazy	crazy
Somebody to Love	Tenement Funster	crazy
Stone Cold Crazy	Tenement Funster	crazy
'39	The Prophet's Song	cried
Fat Bottomed Girls	Flick of the Wrist	cross
'39	Bohemian Rhapsody	cry
'39	My Fairy King	cry
'39	Somebody to Love	cry
'39	You Take My Breath Away	cry
Bohemian Rhapsody	My Fairy King	cry
Bohemian Rhapsody	Somebody to Love	cry
Bohemian Rhapsody	You Take My Breath Away	cry
My Fairy King	Somebody to Love	cry
My Fairy King	You Take My Breath Away	cry
Somebody to Love	You Take My Breath Away	cry
Dear Friends	Drowse	crying
Bring Back That Leroy Brown	Seaside Rendezvous	daddy
Bring Back That Leroy Brown	Tie Your Mother Down	daddy
Seaside Rendezvous	Tie Your Mother Down	daddy
Death on Two Legs (Dedicated to...)	Seaside Rendezvous	damn
Dreamer's Ball	Let Me Entertain You	dancing
Dreamer's Ball	Seaside Rendezvous	dancing
Let Me Entertain You	Seaside Rendezvous	dancing
Dear Friends	The Prophet's Song	dare
'39	Brighton Rock	day
'39	Good Company	day
'39	Keep Yourself Alive	day
'39	Liar	day
'39	Long Away	day
'39	She Makes Me (Stormtrooper In Stilettos)	day
'39	Somebody to Love	day
'39	Son and Daughter	day
'39	The Millionaire Waltz	day
'39	The Prophet's Song	day
Brighton Rock	Good Company	day
Brighton Rock	Keep Yourself Alive	day
Brighton Rock	Liar	day
Brighton Rock	Long Away	day
Brighton Rock	She Makes Me (Stormtrooper In Stilettos)	day
Brighton Rock	Somebody to Love	day
Brighton Rock	Son and Daughter	day
Brighton Rock	The Millionaire Waltz	day
Brighton Rock	The Prophet's Song	day
Good Company	Keep Yourself Alive	day
Good Company	Liar	day
Good Company	Long Away	day
Good Company	She Makes Me (Stormtrooper In Stilettos)	day
Good Company	Somebody to Love	day
Good Company	Son and Daughter	day
Good Company	The Millionaire Waltz	day
Good Company	The Prophet's Song	day
Keep Yourself Alive	Liar	day
Keep Yourself Alive	Long Away	day
Keep Yourself Alive	She Makes Me (Stormtrooper In Stilettos)	day
Keep Yourself Alive	Somebody to Love	day
Keep Yourself Alive	Son and Daughter	day
Keep Yourself Alive	The Millionaire Waltz	day
Keep Yourself Alive	The Prophet's Song	day
Liar	Long Away	day
Liar	She Makes Me (Stormtrooper In Stilettos)	day
Liar	Somebody to Love	day
Liar	Son and Daughter	day
Liar	The Millionaire Waltz	day
Liar	The Prophet's Song	day
Long Away	She Makes Me (Stormtrooper In Stilettos)	day
Long Away	Somebody to Love	day
Long Away	Son and Daughter	day
Long Away	The Millionaire Waltz	day
Long Away	The Prophet's Song	day
She Makes Me (Stormtrooper In Stilettos)	Somebody to Love	day
She Makes Me (Stormtrooper In Stilettos)	Son and Daughter	day
She Makes Me (Stormtrooper In Stilettos)	The Millionaire Waltz	day
She Makes Me (Stormtrooper In Stilettos)	The Prophet's Song	day
Somebody to Love	Son and Daughter	day
Somebody to Love	The Millionaire Waltz	day
Somebody to Love	The Prophet's Song	day
Son and Daughter	The Millionaire Waltz	day
Son and Daughter	The Prophet's Song	day
The Millionaire Waltz	The Prophet's Song	day
'39	Drowse	days
'39	Flick of the Wrist	days
'39	In Only Seven Days	days
'39	More of That Jazz	days
'39	The Millionaire Waltz	days
'39	The Prophet's Song	days
'39	You and I	days
Drowse	Flick of the Wrist	days
Drowse	In Only Seven Days	days
Drowse	More of That Jazz	days
Drowse	The Millionaire Waltz	days
Drowse	The Prophet's Song	days
Drowse	You and I	days
Flick of the Wrist	In Only Seven Days	days
Flick of the Wrist	More of That Jazz	days
Flick of the Wrist	The Millionaire Waltz	days
Flick of the Wrist	The Prophet's Song	days
Flick of the Wrist	You and I	days
In Only Seven Days	More of That Jazz	days
In Only Seven Days	The Millionaire Waltz	days
In Only Seven Days	The Prophet's Song	days
In Only Seven Days	You and I	days
More of That Jazz	The Millionaire Waltz	days
More of That Jazz	The Prophet's Song	days
More of That Jazz	You and I	days
The Millionaire Waltz	The Prophet's Song	days
The Millionaire Waltz	You and I	days
The Prophet's Song	You and I	days
Bohemian Rhapsody	Bring Back That Leroy Brown	dead
Bohemian Rhapsody	Dead on Time	dead
Bohemian Rhapsody	Flick of the Wrist	dead
Bohemian Rhapsody	Liar	dead
Bring Back That Leroy Brown	Dead on Time	dead
Bring Back That Leroy Brown	Flick of the Wrist	dead
Bring Back That Leroy Brown	Liar	dead
Dead on Time	Flick of the Wrist	dead
Dead on Time	Liar	dead
Flick of the Wrist	Liar	dead
Dear Friends	Liar	dear
Dear Friends	Seaside Rendezvous	dear
Liar	Seaside Rendezvous	dear
Death on Two Legs (Dedicated to...)	The Prophet's Song	death
Flick of the Wrist	You Take My Breath Away	deep
Dreamer's Ball	You Take My Breath Away	destroy
Bohemian Rhapsody	Jealousy	die
Bohemian Rhapsody	Somebody to Love	die
Bohemian Rhapsody	Tie Your Mother Down	die
Bohemian Rhapsody	You Take My Breath Away	die
Jealousy	Somebody to Love	die
Jealousy	Tie Your Mother Down	die
Jealousy	You Take My Breath Away	die
Somebody to Love	Tie Your Mother Down	die
Somebody to Love	You Take My Breath Away	die
Tie Your Mother Down	You Take My Breath Away	die
Great King Rat	White Man	died
Flick of the Wrist	Let Me Entertain You	dig
Fat Bottomed Girls	Great King Rat	dirty
Fat Bottomed Girls	If You Can't Beat Them	dirty
Fat Bottomed Girls	Tie Your Mother Down	dirty
Great King Rat	If You Can't Beat Them	dirty
Great King Rat	Tie Your Mother Down	dirty
If You Can't Beat Them	Tie Your Mother Down	dirty
Death on Two Legs (Dedicated to...)	I’m in Love with My Car	disease
Tenement Funster	White Man	disgrace
Bicycle Race	Death on Two Legs (Dedicated to...)	dog
Bicycle Race	Sweet Lady	dog
Death on Two Legs (Dedicated to...)	Sweet Lady	dog
Doing All Right	Drowse	doin
Drowse	Good Company	door
Drowse	Leaving Home Ain't Easy	door
Drowse	Stone Cold Crazy	door
Drowse	Tenement Funster	door
Drowse	Tie Your Mother Down	door
Good Company	Leaving Home Ain't Easy	door
Good Company	Stone Cold Crazy	door
Good Company	Tenement Funster	door
Good Company	Tie Your Mother Down	door
Leaving Home Ain't Easy	Stone Cold Crazy	door
Leaving Home Ain't Easy	Tenement Funster	door
Leaving Home Ain't Easy	Tie Your Mother Down	door
Stone Cold Crazy	Tenement Funster	door
Stone Cold Crazy	Tie Your Mother Down	door
Tenement Funster	Tie Your Mother Down	door
Dreamer's Ball	Drowse	downtown
Dear Friends	Dreamer's Ball	dream
Dear Friends	I’m in Love with My Car	dream
Dear Friends	Teo Torriatte (Let Us Cling Together)	dream
Dear Friends	White Man	dream
Dreamer's Ball	I’m in Love with My Car	dream
Dreamer's Ball	Teo Torriatte (Let Us Cling Together)	dream
Dreamer's Ball	White Man	dream
I’m in Love with My Car	Teo Torriatte (Let Us Cling Together)	dream
I’m in Love with My Car	White Man	dream
Teo Torriatte (Let Us Cling Together)	White Man	dream
Dreamer's Ball	Stone Cold Crazy	dreaming
She Makes Me (Stormtrooper In Stilettos)	Teo Torriatte (Let Us Cling Together)	dreams
My Fairy King	Stone Cold Crazy	dry
Drowse	Liar	dying
'39	The Prophet's Song	earth
'39	You Take My Breath Away	earth
The Prophet's Song	You Take My Breath Away	earth
Bohemian Rhapsody	Drowse	easy
Bohemian Rhapsody	In the Lap of the Gods... Revisited	easy
Bohemian Rhapsody	Leaving Home Ain't Easy	easy
Drowse	In the Lap of the Gods... Revisited	easy
Drowse	Leaving Home Ain't Easy	easy
In the Lap of the Gods... Revisited	Leaving Home Ain't Easy	easy
Flick of the Wrist	Killer Queen	eat
Flick of the Wrist	Sweet Lady	eat
Killer Queen	Sweet Lady	eat
Fat Bottomed Girls	If You Can't Beat Them	em
Fat Bottomed Girls	More of That Jazz	em
If You Can't Beat Them	More of That Jazz	em
Brighton Rock	Drowse	everyday
Brighton Rock	Somebody to Love	everyday
Drowse	Somebody to Love	everyday
Good Old-Fashioned Lover Boy	Love of My Life	everything's
Good Old-Fashioned Lover Boy	You and I	everything's
Love of My Life	You and I	everything's
Bohemian Rhapsody	Now I'm Here	eye
Drowse	Fat Bottomed Girls	eyed
'39	Bohemian Rhapsody	eyes
'39	Flick of the Wrist	eyes
'39	Lily of the Valley	eyes
'39	Modern Times Rock 'N' Roll	eyes
'39	My Fairy King	eyes
'39	Somebody to Love	eyes
'39	Teo Torriatte (Let Us Cling Together)	eyes
'39	White Man	eyes
'39	You Take My Breath Away	eyes
Bohemian Rhapsody	Flick of the Wrist	eyes
Bohemian Rhapsody	Lily of the Valley	eyes
Bohemian Rhapsody	Modern Times Rock 'N' Roll	eyes
Bohemian Rhapsody	My Fairy King	eyes
Bohemian Rhapsody	Somebody to Love	eyes
Bohemian Rhapsody	Teo Torriatte (Let Us Cling Together)	eyes
Bohemian Rhapsody	White Man	eyes
Bohemian Rhapsody	You Take My Breath Away	eyes
Flick of the Wrist	Lily of the Valley	eyes
Flick of the Wrist	Modern Times Rock 'N' Roll	eyes
Flick of the Wrist	My Fairy King	eyes
Flick of the Wrist	Somebody to Love	eyes
Flick of the Wrist	Teo Torriatte (Let Us Cling Together)	eyes
Flick of the Wrist	White Man	eyes
Flick of the Wrist	You Take My Breath Away	eyes
Lily of the Valley	Modern Times Rock 'N' Roll	eyes
Lily of the Valley	My Fairy King	eyes
Lily of the Valley	Somebody to Love	eyes
Lily of the Valley	Teo Torriatte (Let Us Cling Together)	eyes
Lily of the Valley	White Man	eyes
Lily of the Valley	You Take My Breath Away	eyes
Modern Times Rock 'N' Roll	My Fairy King	eyes
Modern Times Rock 'N' Roll	Somebody to Love	eyes
Modern Times Rock 'N' Roll	Teo Torriatte (Let Us Cling Together)	eyes
Modern Times Rock 'N' Roll	White Man	eyes
Modern Times Rock 'N' Roll	You Take My Breath Away	eyes
My Fairy King	Somebody to Love	eyes
My Fairy King	Teo Torriatte (Let Us Cling Together)	eyes
My Fairy King	White Man	eyes
My Fairy King	You Take My Breath Away	eyes
Somebody to Love	Teo Torriatte (Let Us Cling Together)	eyes
Somebody to Love	White Man	eyes
Somebody to Love	You Take My Breath Away	eyes
Teo Torriatte (Let Us Cling Together)	White Man	eyes
Teo Torriatte (Let Us Cling Together)	You Take My Breath Away	eyes
White Man	You Take My Breath Away	eyes
Jealousy	The Prophet's Song	fall
Bohemian Rhapsody	Tie Your Mother Down	family
Drowse	Seaside Rendezvous	fantastic
Bicycle Race	Fat Bottomed Girls	fat
Bicycle Race	More of That Jazz	fat
Fat Bottomed Girls	More of That Jazz	fat
Good Company	Liar	father
Keep Yourself Alive	Sweet Lady	feed
Death on Two Legs (Dedicated to...)	Don't Stop Me Now	feel
Death on Two Legs (Dedicated to...)	Good Old-Fashioned Lover Boy	feel
Death on Two Legs (Dedicated to...)	I’m in Love with My Car	feel
Death on Two Legs (Dedicated to...)	If You Can't Beat Them	feel
Death on Two Legs (Dedicated to...)	Modern Times Rock 'N' Roll	feel
Death on Two Legs (Dedicated to...)	Now I'm Here	feel
Death on Two Legs (Dedicated to...)	Seaside Rendezvous	feel
Death on Two Legs (Dedicated to...)	Somebody to Love	feel
Death on Two Legs (Dedicated to...)	Son and Daughter	feel
Death on Two Legs (Dedicated to...)	The Millionaire Waltz	feel
Don't Stop Me Now	Good Old-Fashioned Lover Boy	feel
Don't Stop Me Now	I’m in Love with My Car	feel
Don't Stop Me Now	If You Can't Beat Them	feel
Don't Stop Me Now	Modern Times Rock 'N' Roll	feel
Don't Stop Me Now	Now I'm Here	feel
Don't Stop Me Now	Seaside Rendezvous	feel
Don't Stop Me Now	Somebody to Love	feel
Don't Stop Me Now	Son and Daughter	feel
Don't Stop Me Now	The Millionaire Waltz	feel
Good Old-Fashioned Lover Boy	I’m in Love with My Car	feel
Good Old-Fashioned Lover Boy	If You Can't Beat Them	feel
Good Old-Fashioned Lover Boy	Modern Times Rock 'N' Roll	feel
Good Old-Fashioned Lover Boy	Now I'm Here	feel
Good Old-Fashioned Lover Boy	Seaside Rendezvous	feel
Good Old-Fashioned Lover Boy	Somebody to Love	feel
Good Old-Fashioned Lover Boy	Son and Daughter	feel
