from	to	value
​invisible string	Miss Americana & The Heartbreak Prince	ah
​invisible string	Paper Rings	ah
​invisible string	Soon You'll Get Better (Ft. The Chicks)	ah
​invisible string	Wildest Dreams	ah
London Boy	Lover	ah
London Boy	Miss Americana & The Heartbreak Prince	ah
London Boy	Paper Rings	ah
London Boy	Soon You'll Get Better (Ft. The Chicks)	ah
London Boy	Wildest Dreams	ah
Lover	Miss Americana & The Heartbreak Prince	ah
Lover	Paper Rings	ah
Lover	Soon You'll Get Better (Ft. The Chicks)	ah
Lover	Wildest Dreams	ah
Miss Americana & The Heartbreak Prince	Paper Rings	ah
Miss Americana & The Heartbreak Prince	Soon You'll Get Better (Ft. The Chicks)	ah
Miss Americana & The Heartbreak Prince	Wildest Dreams	ah
Paper Rings	Soon You'll Get Better (Ft. The Chicks)	ah
Paper Rings	Wildest Dreams	ah
Soon You'll Get Better (Ft. The Chicks)	Wildest Dreams	ah
I Did Something Bad	I Wish You Would	ahead
I Did Something Bad	​this is me trying	ahead
I Wish You Would	​this is me trying	ahead
All Too Well	​august	air
All Too Well	Cornelia Street	air
All Too Well	Daylight	air
All Too Well	Love Story	air
​august	Cornelia Street	air
​august	Daylight	air
​august	Love Story	air
Cornelia Street	Daylight	air
Cornelia Street	Love Story	air
Daylight	Love Story	air
The Lucky One	This Love	alive
22	Call It What You Want	alright
22	Death by a Thousand Cuts	alright
22	Paper Rings	alright
22	Shake It Off	alright
22	​the 1	alright
22	The Archer	alright
Call It What You Want	Death by a Thousand Cuts	alright
Call It What You Want	Paper Rings	alright
Call It What You Want	Shake It Off	alright
Call It What You Want	​the 1	alright
Call It What You Want	The Archer	alright
Death by a Thousand Cuts	Paper Rings	alright
Death by a Thousand Cuts	Shake It Off	alright
Death by a Thousand Cuts	​the 1	alright
Death by a Thousand Cuts	The Archer	alright
Paper Rings	Shake It Off	alright
Paper Rings	​the 1	alright
Paper Rings	The Archer	alright
Shake It Off	​the 1	alright
Shake It Off	The Archer	alright
​the 1	The Archer	alright
​invisible string	King of My Heart	american
​invisible string	London Boy	american
​invisible string	Miss Americana & The Heartbreak Prince	american
​invisible string	​the last great american dynasty	american
King of My Heart	London Boy	american
King of My Heart	Miss Americana & The Heartbreak Prince	american
King of My Heart	​the last great american dynasty	american
London Boy	Miss Americana & The Heartbreak Prince	american
London Boy	​the last great american dynasty	american
Miss Americana & The Heartbreak Prince	​the last great american dynasty	american
Hey Stephen	White Horse	angel
Clean	​exile (Ft. Bon Iver)	anymore
Clean	Forever & Always	anymore
Clean	I Wish You Would	anymore
Clean	The Last Time (Ft. Gary Lightbody)	anymore
Clean	You're Not Sorry	anymore
​exile (Ft. Bon Iver)	Forever & Always	anymore
​exile (Ft. Bon Iver)	I Wish You Would	anymore
​exile (Ft. Bon Iver)	The Last Time (Ft. Gary Lightbody)	anymore
​exile (Ft. Bon Iver)	You're Not Sorry	anymore
Forever & Always	I Wish You Would	anymore
Forever & Always	The Last Time (Ft. Gary Lightbody)	anymore
Forever & Always	You're Not Sorry	anymore
I Wish You Would	The Last Time (Ft. Gary Lightbody)	anymore
I Wish You Would	You're Not Sorry	anymore
The Last Time (Ft. Gary Lightbody)	You're Not Sorry	anymore
Cornelia Street	Welcome to New York	apartment
​exile (Ft. Bon Iver)	​invisible string	arms
​exile (Ft. Bon Iver)	Paper Rings	arms
​invisible string	Paper Rings	arms
King of My Heart	The Best Day	asleep
I Think He Knows	Tell Me Why	attitude
All Too Well	Cornelia Street	autumn
All Too Well	Red	autumn
Cornelia Street	Red	autumn
​invisible string	This is Why We Can’t Have Nice Things	axe
Blank Space	Paper Rings	ayy
Delicate	False God	babe
Delicate	I Almost Do	babe
Delicate	It’s Nice to Have a Friend	babe
Delicate	​my tears ricochet	babe
Delicate	New Year's Day	babe
Delicate	Wildest Dreams	babe
False God	I Almost Do	babe
False God	It’s Nice to Have a Friend	babe
False God	​my tears ricochet	babe
False God	New Year's Day	babe
False God	Wildest Dreams	babe
I Almost Do	It’s Nice to Have a Friend	babe
I Almost Do	​my tears ricochet	babe
I Almost Do	New Year's Day	babe
I Almost Do	Wildest Dreams	babe
It’s Nice to Have a Friend	​my tears ricochet	babe
It’s Nice to Have a Friend	New Year's Day	babe
It’s Nice to Have a Friend	Wildest Dreams	babe
​my tears ricochet	New Year's Day	babe
​my tears ricochet	Wildest Dreams	babe
New Year's Day	Wildest Dreams	babe
...Ready for It?	Bad Blood	baby
...Ready for It?	Blank Space	baby
...Ready for It?	​cardigan	baby
...Ready for It?	Cornelia Street	baby
...Ready for It?	Cruel Summer	baby
...Ready for It?	Dancing with Our Hands Tied	baby
...Ready for It?	Death by a Thousand Cuts	baby
...Ready for It?	Don't Blame Me	baby
...Ready for It?	Fearless	baby
...Ready for It?	Forever & Always	baby
...Ready for It?	I Know Places	baby
...Ready for It?	I Think He Knows	baby
...Ready for It?	​illicit affairs	baby
...Ready for It?	​invisible string	baby
...Ready for It?	King of My Heart	baby
...Ready for It?	Love Story	baby
...Ready for It?	ME! (Ft. Brendon Urie)	baby
...Ready for It?	Out of the Woods	baby
...Ready for It?	Paper Rings	baby
...Ready for It?	Shake It Off	baby
...Ready for It?	So It Goes...	baby
...Ready for It?	​the 1	baby
...Ready for It?	The Moment I Knew	baby
...Ready for It?	This is Why We Can’t Have Nice Things	baby
...Ready for It?	We Are Never Ever Getting Back Together	baby
...Ready for It?	You Belong with Me	baby
...Ready for It?	You're Not Sorry	baby
Bad Blood	Blank Space	baby
Bad Blood	​cardigan	baby
Bad Blood	Cornelia Street	baby
Bad Blood	Cruel Summer	baby
Bad Blood	Dancing with Our Hands Tied	baby
Bad Blood	Death by a Thousand Cuts	baby
Bad Blood	Don't Blame Me	baby
Bad Blood	Fearless	baby
Bad Blood	Forever & Always	baby
Bad Blood	I Know Places	baby
Bad Blood	I Think He Knows	baby
Bad Blood	​illicit affairs	baby
Bad Blood	​invisible string	baby
Bad Blood	King of My Heart	baby
Bad Blood	Love Story	baby
Bad Blood	ME! (Ft. Brendon Urie)	baby
Bad Blood	Out of the Woods	baby
Bad Blood	Paper Rings	baby
Bad Blood	Shake It Off	baby
Bad Blood	So It Goes...	baby
Bad Blood	​the 1	baby
Bad Blood	The Moment I Knew	baby
Bad Blood	This is Why We Can’t Have Nice Things	baby
Bad Blood	We Are Never Ever Getting Back Together	baby
Bad Blood	You Belong with Me	baby
Bad Blood	You're Not Sorry	baby
Blank Space	​cardigan	baby
Blank Space	Cornelia Street	baby
Blank Space	Cruel Summer	baby
Blank Space	Dancing with Our Hands Tied	baby
Blank Space	Death by a Thousand Cuts	baby
Blank Space	Don't Blame Me	baby
Blank Space	Fearless	baby
Blank Space	Forever & Always	baby
Blank Space	I Know Places	baby
Blank Space	I Think He Knows	baby
Blank Space	​illicit affairs	baby
Blank Space	​invisible string	baby
Blank Space	King of My Heart	baby
Blank Space	Love Story	baby
Blank Space	ME! (Ft. Brendon Urie)	baby
Blank Space	Out of the Woods	baby
Blank Space	Paper Rings	baby
Blank Space	Shake It Off	baby
Blank Space	So It Goes...	baby
Blank Space	​the 1	baby
Blank Space	The Moment I Knew	baby
Blank Space	This is Why We Can’t Have Nice Things	baby
Blank Space	We Are Never Ever Getting Back Together	baby
Blank Space	You Belong with Me	baby
Blank Space	You're Not Sorry	baby
​cardigan	Cornelia Street	baby
​cardigan	Cruel Summer	baby
​cardigan	Dancing with Our Hands Tied	baby
​cardigan	Death by a Thousand Cuts	baby
​cardigan	Don't Blame Me	baby
​cardigan	Fearless	baby
​cardigan	Forever & Always	baby
​cardigan	I Know Places	baby
​cardigan	I Think He Knows	baby
​cardigan	​illicit affairs	baby
​cardigan	​invisible string	baby
​cardigan	King of My Heart	baby
​cardigan	Love Story	baby
​cardigan	ME! (Ft. Brendon Urie)	baby
​cardigan	Out of the Woods	baby
​cardigan	Paper Rings	baby
​cardigan	Shake It Off	baby
​cardigan	So It Goes...	baby
​cardigan	​the 1	baby
​cardigan	The Moment I Knew	baby
​cardigan	This is Why We Can’t Have Nice Things	baby
​cardigan	We Are Never Ever Getting Back Together	baby
​cardigan	You Belong with Me	baby
​cardigan	You're Not Sorry	baby
Cornelia Street	Cruel Summer	baby
Cornelia Street	Dancing with Our Hands Tied	baby
Cornelia Street	Death by a Thousand Cuts	baby
Cornelia Street	Don't Blame Me	baby
Cornelia Street	Fearless	baby
Cornelia Street	Forever & Always	baby
Cornelia Street	I Know Places	baby
Cornelia Street	I Think He Knows	baby
Cornelia Street	​illicit affairs	baby
Cornelia Street	​invisible string	baby
Cornelia Street	King of My Heart	baby
Cornelia Street	Love Story	baby
Cornelia Street	ME! (Ft. Brendon Urie)	baby
Cornelia Street	Out of the Woods	baby
Cornelia Street	Paper Rings	baby
Cornelia Street	Shake It Off	baby
Cornelia Street	So It Goes...	baby
Cornelia Street	​the 1	baby
Cornelia Street	The Moment I Knew	baby
Cornelia Street	This is Why We Can’t Have Nice Things	baby
Cornelia Street	We Are Never Ever Getting Back Together	baby
Cornelia Street	You Belong with Me	baby
Cornelia Street	You're Not Sorry	baby
Cruel Summer	Dancing with Our Hands Tied	baby
Cruel Summer	Death by a Thousand Cuts	baby
Cruel Summer	Don't Blame Me	baby
Cruel Summer	Fearless	baby
Cruel Summer	Forever & Always	baby
Cruel Summer	I Know Places	baby
Cruel Summer	I Think He Knows	baby
Cruel Summer	​illicit affairs	baby
Cruel Summer	​invisible string	baby
Cruel Summer	King of My Heart	baby
Cruel Summer	Love Story	baby
Cruel Summer	ME! (Ft. Brendon Urie)	baby
Cruel Summer	Out of the Woods	baby
Cruel Summer	Paper Rings	baby
Cruel Summer	Shake It Off	baby
Cruel Summer	So It Goes...	baby
Cruel Summer	​the 1	baby
Cruel Summer	The Moment I Knew	baby
Cruel Summer	This is Why We Can’t Have Nice Things	baby
Cruel Summer	We Are Never Ever Getting Back Together	baby
Cruel Summer	You Belong with Me	baby
Cruel Summer	You're Not Sorry	baby
Dancing with Our Hands Tied	Death by a Thousand Cuts	baby
Dancing with Our Hands Tied	Don't Blame Me	baby
Dancing with Our Hands Tied	Fearless	baby
Dancing with Our Hands Tied	Forever & Always	baby
Dancing with Our Hands Tied	I Know Places	baby
Dancing with Our Hands Tied	I Think He Knows	baby
Dancing with Our Hands Tied	​illicit affairs	baby
Dancing with Our Hands Tied	​invisible string	baby
Dancing with Our Hands Tied	King of My Heart	baby
Dancing with Our Hands Tied	Love Story	baby
Dancing with Our Hands Tied	ME! (Ft. Brendon Urie)	baby
Dancing with Our Hands Tied	Out of the Woods	baby
Dancing with Our Hands Tied	Paper Rings	baby
Dancing with Our Hands Tied	Shake It Off	baby
Dancing with Our Hands Tied	So It Goes...	baby
Dancing with Our Hands Tied	​the 1	baby
Dancing with Our Hands Tied	The Moment I Knew	baby
Dancing with Our Hands Tied	This is Why We Can’t Have Nice Things	baby
Dancing with Our Hands Tied	We Are Never Ever Getting Back Together	baby
Dancing with Our Hands Tied	You Belong with Me	baby
Dancing with Our Hands Tied	You're Not Sorry	baby
Death by a Thousand Cuts	Don't Blame Me	baby
Death by a Thousand Cuts	Fearless	baby
Death by a Thousand Cuts	Forever & Always	baby
Death by a Thousand Cuts	I Know Places	baby
Death by a Thousand Cuts	I Think He Knows	baby
Death by a Thousand Cuts	​illicit affairs	baby
Death by a Thousand Cuts	​invisible string	baby
Death by a Thousand Cuts	King of My Heart	baby
Death by a Thousand Cuts	Love Story	baby
Death by a Thousand Cuts	ME! (Ft. Brendon Urie)	baby
Death by a Thousand Cuts	Out of the Woods	baby
Death by a Thousand Cuts	Paper Rings	baby
Death by a Thousand Cuts	Shake It Off	baby
Death by a Thousand Cuts	So It Goes...	baby
Death by a Thousand Cuts	​the 1	baby
Death by a Thousand Cuts	The Moment I Knew	baby
Death by a Thousand Cuts	This is Why We Can’t Have Nice Things	baby
Death by a Thousand Cuts	We Are Never Ever Getting Back Together	baby
Death by a Thousand Cuts	You Belong with Me	baby
Death by a Thousand Cuts	You're Not Sorry	baby
Don't Blame Me	Fearless	baby
Don't Blame Me	Forever & Always	baby
Don't Blame Me	I Know Places	baby
Don't Blame Me	I Think He Knows	baby
Don't Blame Me	​illicit affairs	baby
Don't Blame Me	​invisible string	baby
Don't Blame Me	King of My Heart	baby
Don't Blame Me	Love Story	baby
Don't Blame Me	ME! (Ft. Brendon Urie)	baby
Don't Blame Me	Out of the Woods	baby
Don't Blame Me	Paper Rings	baby
Don't Blame Me	Shake It Off	baby
Don't Blame Me	So It Goes...	baby
Don't Blame Me	​the 1	baby
Don't Blame Me	The Moment I Knew	baby
Don't Blame Me	This is Why We Can’t Have Nice Things	baby
Don't Blame Me	We Are Never Ever Getting Back Together	baby
Don't Blame Me	You Belong with Me	baby
Don't Blame Me	You're Not Sorry	baby
Fearless	Forever & Always	baby
Fearless	I Know Places	baby
Fearless	I Think He Knows	baby
Fearless	​illicit affairs	baby
Fearless	​invisible string	baby
Fearless	King of My Heart	baby
Fearless	Love Story	baby
Fearless	ME! (Ft. Brendon Urie)	baby
Fearless	Out of the Woods	baby
Fearless	Paper Rings	baby
Fearless	Shake It Off	baby
Fearless	So It Goes...	baby
Fearless	​the 1	baby
Fearless	The Moment I Knew	baby
Fearless	This is Why We Can’t Have Nice Things	baby
Fearless	We Are Never Ever Getting Back Together	baby
Fearless	You Belong with Me	baby
Fearless	You're Not Sorry	baby
Forever & Always	I Know Places	baby
Forever & Always	I Think He Knows	baby
Forever & Always	​illicit affairs	baby
Forever & Always	​invisible string	baby
Forever & Always	King of My Heart	baby
Forever & Always	Love Story	baby
Forever & Always	ME! (Ft. Brendon Urie)	baby
Forever & Always	Out of the Woods	baby
Forever & Always	Paper Rings	baby
Forever & Always	Shake It Off	baby
Forever & Always	So It Goes...	baby
Forever & Always	​the 1	baby
Forever & Always	The Moment I Knew	baby
Forever & Always	This is Why We Can’t Have Nice Things	baby
Forever & Always	We Are Never Ever Getting Back Together	baby
Forever & Always	You Belong with Me	baby
Forever & Always	You're Not Sorry	baby
I Know Places	I Think He Knows	baby
I Know Places	​illicit affairs	baby
I Know Places	​invisible string	baby
I Know Places	King of My Heart	baby
I Know Places	Love Story	baby
I Know Places	ME! (Ft. Brendon Urie)	baby
I Know Places	Out of the Woods	baby
I Know Places	Paper Rings	baby
I Know Places	Shake It Off	baby
I Know Places	So It Goes...	baby
I Know Places	​the 1	baby
I Know Places	The Moment I Knew	baby
I Know Places	This is Why We Can’t Have Nice Things	baby
I Know Places	We Are Never Ever Getting Back Together	baby
I Know Places	You Belong with Me	baby
I Know Places	You're Not Sorry	baby
I Think He Knows	​illicit affairs	baby
I Think He Knows	​invisible string	baby
I Think He Knows	King of My Heart	baby
I Think He Knows	Love Story	baby
I Think He Knows	ME! (Ft. Brendon Urie)	baby
I Think He Knows	Out of the Woods	baby
I Think He Knows	Paper Rings	baby
I Think He Knows	Shake It Off	baby
I Think He Knows	So It Goes...	baby
I Think He Knows	​the 1	baby
I Think He Knows	The Moment I Knew	baby
I Think He Knows	This is Why We Can’t Have Nice Things	baby
I Think He Knows	We Are Never Ever Getting Back Together	baby
I Think He Knows	You Belong with Me	baby
I Think He Knows	You're Not Sorry	baby
​illicit affairs	​invisible string	baby
​illicit affairs	King of My Heart	baby
​illicit affairs	Love Story	baby
​illicit affairs	ME! (Ft. Brendon Urie)	baby
​illicit affairs	Out of the Woods	baby
​illicit affairs	Paper Rings	baby
​illicit affairs	Shake It Off	baby
​illicit affairs	So It Goes...	baby
​illicit affairs	​the 1	baby
​illicit affairs	The Moment I Knew	baby
​illicit affairs	This is Why We Can’t Have Nice Things	baby
​illicit affairs	We Are Never Ever Getting Back Together	baby
​illicit affairs	You Belong with Me	baby
​illicit affairs	You're Not Sorry	baby
​invisible string	King of My Heart	baby
​invisible string	Love Story	baby
​invisible string	ME! (Ft. Brendon Urie)	baby
​invisible string	Out of the Woods	baby
​invisible string	Paper Rings	baby
​invisible string	Shake It Off	baby
​invisible string	So It Goes...	baby
​invisible string	​the 1	baby
​invisible string	The Moment I Knew	baby
​invisible string	This is Why We Can’t Have Nice Things	baby
​invisible string	We Are Never Ever Getting Back Together	baby
​invisible string	You Belong with Me	baby
​invisible string	You're Not Sorry	baby
King of My Heart	Love Story	baby
King of My Heart	ME! (Ft. Brendon Urie)	baby
King of My Heart	Out of the Woods	baby
King of My Heart	Paper Rings	baby
King of My Heart	Shake It Off	baby
King of My Heart	So It Goes...	baby
King of My Heart	​the 1	baby
King of My Heart	The Moment I Knew	baby
King of My Heart	This is Why We Can’t Have Nice Things	baby
King of My Heart	We Are Never Ever Getting Back Together	baby
King of My Heart	You Belong with Me	baby
King of My Heart	You're Not Sorry	baby
Love Story	ME! (Ft. Brendon Urie)	baby
Love Story	Out of the Woods	baby
Love Story	Paper Rings	baby
Love Story	Shake It Off	baby
Love Story	So It Goes...	baby
Love Story	​the 1	baby
Love Story	The Moment I Knew	baby
Love Story	This is Why We Can’t Have Nice Things	baby
Love Story	We Are Never Ever Getting Back Together	baby
Love Story	You Belong with Me	baby
Love Story	You're Not Sorry	baby
ME! (Ft. Brendon Urie)	Out of the Woods	baby
ME! (Ft. Brendon Urie)	Paper Rings	baby
ME! (Ft. Brendon Urie)	Shake It Off	baby
ME! (Ft. Brendon Urie)	So It Goes...	baby
ME! (Ft. Brendon Urie)	​the 1	baby
ME! (Ft. Brendon Urie)	The Moment I Knew	baby
ME! (Ft. Brendon Urie)	This is Why We Can’t Have Nice Things	baby
ME! (Ft. Brendon Urie)	We Are Never Ever Getting Back Together	baby
ME! (Ft. Brendon Urie)	You Belong with Me	baby
ME! (Ft. Brendon Urie)	You're Not Sorry	baby
Out of the Woods	Paper Rings	baby
Out of the Woods	Shake It Off	baby
Out of the Woods	So It Goes...	baby
Out of the Woods	​the 1	baby
Out of the Woods	The Moment I Knew	baby
Out of the Woods	This is Why We Can’t Have Nice Things	baby
Out of the Woods	We Are Never Ever Getting Back Together	baby
Out of the Woods	You Belong with Me	baby
Out of the Woods	You're Not Sorry	baby
Paper Rings	Shake It Off	baby
Paper Rings	So It Goes...	baby
Paper Rings	​the 1	baby
Paper Rings	The Moment I Knew	baby
Paper Rings	This is Why We Can’t Have Nice Things	baby
Paper Rings	We Are Never Ever Getting Back Together	baby
Paper Rings	You Belong with Me	baby
Paper Rings	You're Not Sorry	baby
Shake It Off	So It Goes...	baby
Shake It Off	​the 1	baby
Shake It Off	The Moment I Knew	baby
Shake It Off	This is Why We Can’t Have Nice Things	baby
Shake It Off	We Are Never Ever Getting Back Together	baby
Shake It Off	You Belong with Me	baby
Shake It Off	You're Not Sorry	baby
So It Goes...	​the 1	baby
So It Goes...	The Moment I Knew	baby
So It Goes...	This is Why We Can’t Have Nice Things	baby
So It Goes...	We Are Never Ever Getting Back Together	baby
So It Goes...	You Belong with Me	baby
So It Goes...	You're Not Sorry	baby
​the 1	The Moment I Knew	baby
​the 1	This is Why We Can’t Have Nice Things	baby
​the 1	We Are Never Ever Getting Back Together	baby
​the 1	You Belong with Me	baby
​the 1	You're Not Sorry	baby
The Moment I Knew	This is Why We Can’t Have Nice Things	baby
The Moment I Knew	We Are Never Ever Getting Back Together	baby
The Moment I Knew	You Belong with Me	baby
The Moment I Knew	You're Not Sorry	baby
This is Why We Can’t Have Nice Things	We Are Never Ever Getting Back Together	baby
This is Why We Can’t Have Nice Things	You Belong with Me	baby
This is Why We Can’t Have Nice Things	You're Not Sorry	baby
We Are Never Ever Getting Back Together	You Belong with Me	baby
We Are Never Ever Getting Back Together	You're Not Sorry	baby
You Belong with Me	You're Not Sorry	baby
22	Bad Blood	bad
22	Blank Space	bad
22	Cruel Summer	bad
22	Dancing with Our Hands Tied	bad
22	Death by a Thousand Cuts	bad
22	End Game (Ft. Ed Sheeran & Future)	bad
22	I Did Something Bad	bad
22	I Know Places	bad
22	​invisible string	bad
22	Look What You Made Me Do	bad
22	Miss Americana & The Heartbreak Prince	bad
22	So It Goes...	bad
22	Soon You'll Get Better (Ft. The Chicks)	bad
22	​the last great american dynasty	bad
22	The Man	bad
22	This Love	bad
22	Wildest Dreams	bad
Bad Blood	Blank Space	bad
Bad Blood	Cruel Summer	bad
Bad Blood	Dancing with Our Hands Tied	bad
Bad Blood	Death by a Thousand Cuts	bad
Bad Blood	End Game (Ft. Ed Sheeran & Future)	bad
Bad Blood	I Did Something Bad	bad
Bad Blood	I Know Places	bad
Bad Blood	​invisible string	bad
Bad Blood	Look What You Made Me Do	bad
Bad Blood	Miss Americana & The Heartbreak Prince	bad
Bad Blood	So It Goes...	bad
Bad Blood	Soon You'll Get Better (Ft. The Chicks)	bad
Bad Blood	​the last great american dynasty	bad
Bad Blood	The Man	bad
Bad Blood	This Love	bad
Bad Blood	Wildest Dreams	bad
Blank Space	Cruel Summer	bad
Blank Space	Dancing with Our Hands Tied	bad
Blank Space	Death by a Thousand Cuts	bad
Blank Space	End Game (Ft. Ed Sheeran & Future)	bad
Blank Space	I Did Something Bad	bad
Blank Space	I Know Places	bad
Blank Space	​invisible string	bad
Blank Space	Look What You Made Me Do	bad
Blank Space	Miss Americana & The Heartbreak Prince	bad
Blank Space	So It Goes...	bad
Blank Space	Soon You'll Get Better (Ft. The Chicks)	bad
Blank Space	​the last great american dynasty	bad
Blank Space	The Man	bad
Blank Space	This Love	bad
Blank Space	Wildest Dreams	bad
Cruel Summer	Dancing with Our Hands Tied	bad
Cruel Summer	Death by a Thousand Cuts	bad
Cruel Summer	End Game (Ft. Ed Sheeran & Future)	bad
Cruel Summer	I Did Something Bad	bad
Cruel Summer	I Know Places	bad
Cruel Summer	​invisible string	bad
Cruel Summer	Look What You Made Me Do	bad
Cruel Summer	Miss Americana & The Heartbreak Prince	bad
Cruel Summer	So It Goes...	bad
Cruel Summer	Soon You'll Get Better (Ft. The Chicks)	bad
Cruel Summer	​the last great american dynasty	bad
Cruel Summer	The Man	bad
Cruel Summer	This Love	bad
Cruel Summer	Wildest Dreams	bad
Dancing with Our Hands Tied	Death by a Thousand Cuts	bad
Dancing with Our Hands Tied	End Game (Ft. Ed Sheeran & Future)	bad
Dancing with Our Hands Tied	I Did Something Bad	bad
Dancing with Our Hands Tied	I Know Places	bad
Dancing with Our Hands Tied	​invisible string	bad
Dancing with Our Hands Tied	Look What You Made Me Do	bad
Dancing with Our Hands Tied	Miss Americana & The Heartbreak Prince	bad
Dancing with Our Hands Tied	So It Goes...	bad
Dancing with Our Hands Tied	Soon You'll Get Better (Ft. The Chicks)	bad
Dancing with Our Hands Tied	​the last great american dynasty	bad
Dancing with Our Hands Tied	The Man	bad
Dancing with Our Hands Tied	This Love	bad
Dancing with Our Hands Tied	Wildest Dreams	bad
Death by a Thousand Cuts	End Game (Ft. Ed Sheeran & Future)	bad
Death by a Thousand Cuts	I Did Something Bad	bad
Death by a Thousand Cuts	I Know Places	bad
Death by a Thousand Cuts	​invisible string	bad
Death by a Thousand Cuts	Look What You Made Me Do	bad
Death by a Thousand Cuts	Miss Americana & The Heartbreak Prince	bad
Death by a Thousand Cuts	So It Goes...	bad
